kind,line,function,chart_id,key,issues
direct,1534,_render_chart_with_contract,,<dynamic>,
direct,1988,render_mission_control,,mission_control_research_learning_curve,
direct,2030,render_research_mode_compact,,research_mode_dataset_partition_rows,
direct,2034,render_research_mode_compact,,research_mode_returns_partition_pnl,
direct,2052,render_research_mode_compact,,research_mode_weekend_stress_sweep,
direct,2080,render_experimentation_lab,,experimentation_lab_trajectory,
contract,2235,render_system_health,system_health_runtime_metrics,system_health_runtime_metrics,
direct,2558,render_v3_analytics,,v3_analytics_compact_equity_drawdown,
direct,2598,render_v3_analytics,,v3_analytics_compact_rolling_risk_efficiency,
direct,2630,render_v3_analytics,,v3_analytics_compact_vs_benchmark,
direct,2670,render_advanced_intelligence,,adv_intel_compact_posterior_gap_hist,
direct,2694,render_advanced_intelligence,,adv_intel_compact_opportunity_surface,
direct,2712,render_advanced_intelligence,,adv_intel_compact_macro_matrix,
direct,2747,render_advanced_intelligence,,adv_intel_compact_allocation_engine_heatmap,
direct,2863,render_wave_analysis,,wave_analysis_price_structure_swings,
direct,2896,render_wave_analysis,,wave_analysis_cycles_fft_power,
direct,2918,render_wave_analysis,,wave_analysis_cycles_autocorrelation,
direct,2949,render_wave_analysis,,wave_analysis_forecast_trend_cycle,
direct,2959,render_wave_analysis,,wave_analysis_diagnostics_returns_volatility,
contract,2988,render_edge_health,portfolio_edge_health,portfolio_edge_health_primary,
contract,3005,render_edge_health,portfolio_edge_health,portfolio_edge_health_scatter,
contract,3024,render_exit_risk,portfolio_exit_risk,portfolio_exit_risk_bar,
contract,3049,render_exit_risk,portfolio_exit_risk,portfolio_exit_risk_map,
direct,3234,render_alpha_os_control_tower,,alphaos_compact_regime_probability_surface,
direct,3275,render_alpha_os_control_tower,,alphaos_compact_survival_diagnostics,
direct,3289,render_alpha_os_control_tower,,alphaos_compact_drawdown_surface,
contract,3359,render_real_time_monitor,system_health_sector_allocation,system_health_sector_allocation,
contract,3649,render_macro_news_pressure_index,market_state_macro_news_pressure,market_state_macro_news_pressure,
contract,3657,render_macro_news_pressure_index,news_layer_macro_news_pressure,news_layer_macro_news_pressure,
direct,3667,render_macro_news_pressure_index,,causal_flow_macro_news_pressure,
direct,3669,render_macro_news_pressure_index,,sector_sentiment_macro_news_pressure,
direct,3671,render_macro_news_pressure_index,,macro_news_pressure_generic,
contract,3818,render_sector_sentiment_vs_flows,market_state_sector_sentiment_vs_flows,market_state_sector_sentiment_vs_flows,
contract,3826,render_sector_sentiment_vs_flows,news_layer_sector_sentiment_vs_flows,news_layer_sector_sentiment_vs_flows,
direct,3836,render_sector_sentiment_vs_flows,,causal_flow_sector_sentiment_vs_flows,
direct,3838,render_sector_sentiment_vs_flows,,sector_sentiment_vs_flows_generic,
direct,3840,render_sector_sentiment_vs_flows,,sector_sentiment_vs_flows_generic,
direct,3940,render_belief_vs_news_divergence,,news_layer_belief_news_divergence,
direct,3988,render_event_shock_surface,,news_layer_event_shock_surface,
contract,4187,render_market_pressure_surface,market_pressure_surface,market_pressure_surface,
contract,4367,render_portfolio_expression_surface,portfolio_expression_surface,portfolio_expression_surface,
contract,4520,render_survival_engine_surface,survival_engine_surface,survival_engine_surface,
contract,4614,render_news_shock_surface,news_layer_narrative_shock_intensity,news_shock_surface,
contract,4650,render_system_health_surface,system_health_runtime_metrics,system_health_surface_runtime_metrics,
contract,4685,render_system_health_surface,system_health_sector_allocation,system_health_surface_sector_allocation,
contract,4742,render_market_state_layer,market_state_regime_pressure,market_state_regime_pressure,
contract,4773,render_market_state_layer,market_state_macro_heatmap,market_state_macro_heatmap,
direct,4841,render_intelligence_layer,,intelligence_belief_skill_evolution,
