path,category,stage,qualname,start_line,end_line,doc,math_calls,operators,numeric_literals,top_calls
run.py,root,orchestration,_env_flag,39,43,,,,,"getenv,lower,strip,str"
run.py,root,orchestration,_ensure_archive_isolation,69,84,,,,3.0,"str,lower,replace,list,items,getattr,append"
run.py,root,orchestration,_print_banner,87,103,,,mult:1,48.0,"print,get,isoformat,_strict_mode,_ci_gate_mode,now,join,str"
run.py,root,orchestration,_run_subprocess,106,110,,,bitor:1,0.0,"run,print,join,str"
run.py,root,orchestration,_health_check_result,113,126,,,,,
run.py,root,orchestration,_check_broker_connectivity,129,157,,,div:1,1.0,"strip,_health_check_result,exists,getenv,splitlines,split,read_text,startswith"
run.py,root,orchestration,_check_market_data_freshness,160,189,,"max,round","div:1,sub:1","0.0,4.0,3600.0,3.0","_health_check_result,str,max,round,stat,exists,timestamp,now"
run.py,root,orchestration,_check_ledger_integrity,192,235,,sum,,,"_health_check_result,isin,exists,read_parquet,bool,astype,any,int,sum"
run.py,root,orchestration,_check_code_freeze_status,238,254,,,div:1,,"_health_check_result,str,exists"
run.py,root,orchestration,_check_doc_staleness,257,286,,"max,round","div:1,sub:1","0.0,90.0,86400.0,1.0","_health_check_result,str,round,max,exists,timestamp,stat,now"
run.py,root,orchestration,_check_test_count_drift,289,324,,,,0.0,"_health_check_result,str,int,exists,loads,read_text,get"
run.py,root,orchestration,_collect_health_checks,327,337,,,,,"print,_check_broker_connectivity,_check_market_data_freshness,_check_ledger_integrity,_check_code_freeze_status,_check_doc_staleness,_check_test_count_drift"
run.py,root,orchestration,_summarize_health_checks,340,361,,,,"1.0,0.0","get,sorted,isoformat,now"
run.py,root,orchestration,run_health_mode,409,435,,,div:4,"0.0,2.0","print,str,_summarize_health_checks,_run_subprocess,_collect_health_checks,dumps,exists"
run.py,root,orchestration,run_status_mode,438,450,,,mult:1,24.0,"print,get,_load_freeze_state,_strict_mode,_ci_gate_mode,exists"
run.py,root,orchestration,main,453,498,,,,"1.0,0.0","add_argument,print,ArgumentParser,parse_args,_ensure_archive_isolation,_load_freeze_state,_print_banner,run_dashboard_mode,run_update_mode,run_health_mode,run_status_mode"
run_complete_v3_system.py,root,orchestration,_ignored_legacy_flags,146,165,,,,"1.0,180.0",append
run_complete_v3_system.py,root,orchestration,main,168,187,,,,0.0,"print,_launch_dashboard,parse_args,_ignored_legacy_flags,_canonical_command,call,int,str,join"
run_daily_v3.py,root,orchestration,_log_dir,28,31,,,div:3,,mkdir
run_daily_v3.py,root,orchestration,main,41,101,,,"add:1,div:1,mult:1","8517.0,1.0,180.0,0.0,80.0","add_argument,str,write,int,call,now,ArgumentParser,parse_args,strftime,print,_log_dir,append"
scripts/activate_full_northstar_v3_system.py,scripts,orchestration,NorthstarV3SystemActivator.__init__,36,48,,,mult:2,60.0,"print,now,strftime"
