panel,track,family,signal,name,mean_ic,hac_t,icir_ann,n_dates,sign_ok,fdr_pass,ls_spread_ann,longleg_alpha_ann,longleg_share,monotonic,verdict,target_horizon,target_relativity,universe_panel,window
PANEL-B,F-03..F-07,value,val_roce_5yr_avg_zscore,ROCE 5yr value,-0.0222,-1.89,-1.25,339,False,False,-0.073,-0.046,0.63,-0.9,FAILED_SIGN,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-A,F-01/F-02,momentum,ret_4w,1m return,-0.0186,-2.91,-1.01,1070,False,True,0.031,0.006,0.2,0.9,FAILED_SIGN,4w,sector_relative,PANEL-A (close>=20),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,quality,screener_roce,ROCE,-0.0182,-1.65,-1.08,340,False,False,-0.052,-0.036,0.7,-0.9,FAILED_SIGN,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,value,val_earnings_quality_score_zscore,earnings-quality value,-0.0095,-0.97,-0.62,339,False,False,0.01,-0.042,-4.41,0.0,FAILED_SIGN,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,value,val_composite_score_zscore,composite value score,-0.0089,-0.76,-0.5,339,False,False,-0.002,-0.032,17.71,-0.4,FAILED_SIGN,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,anchors,rev_sue,revenue SUE,-0.0075,-0.76,-0.55,283,False,False,-0.04,-0.033,0.81,-0.5,FAILED_SIGN,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,quality,operating_margin,operating margin,-0.0072,-0.9,-0.59,340,False,False,-0.055,-0.033,0.6,-0.8,FAILED_SIGN,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-A,F-01/F-02,volatility,skew_26w,26w skew (lottery),0.0025,0.59,0.21,1070,False,False,-0.048,-0.032,0.67,-0.7,FAILED_SIGN,4w,sector_relative,PANEL-A (close>=20),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,anchors,combined_sue,combined SUE,-0.0007,-0.08,-0.05,283,False,False,0.007,-0.0,-0.04,0.2,FAILED_SIGN,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,flows,screener_promoter_change_1q,promoter buying 1q,0.0124,1.3,1.47,99,True,False,0.029,-0.001,-0.04,0.6,NOISE,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-A,F-01/F-02,momentum,ret_13w,3m momentum,0.0089,1.17,0.43,1070,True,False,0.11,0.059,0.54,1.0,NOISE,4w,sector_relative,PANEL-A (close>=20),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,anchors,eps_sue,EPS SUE,0.0088,1.14,0.79,283,True,False,0.024,0.01,0.4,0.5,NOISE,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,flows,screener_fii_change_1q,FII change 1q (IH-04),0.0071,0.68,0.78,99,True,False,-0.019,-0.021,1.11,-0.1,NOISE,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,value,val_discount_to_fair_pct_zscore,discount-to-fair (IH-24),0.0034,0.53,0.34,339,True,False,0.013,-0.015,-1.18,0.1,NOISE,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,value,val_margin_of_safety_zscore,margin of safety,0.0034,0.52,0.33,339,True,False,0.013,-0.015,-1.18,0.1,NOISE,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,anchors,combined_revision_score,revision score,0.0031,0.36,0.26,283,True,False,0.029,0.0,0.0,0.1,NOISE,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
PANEL-B,F-03..F-07,flows,bulk_net_pressure_21d,bulk-deal net pressure,0.0018,0.46,0.27,156,True,False,-0.001,0.01,-6.94,-0.3,NOISE,4w,sector_relative,PANEL-B (no close filter),eval window 2005-01-07..2025-07-10 (pre-lockbox); effective dates = n_dates
