ticker,nse_symbol,bse_code,isin,listing_date,delisting_date
360ONE.NS,360ONE,542772,INE466L01038,2020-03-13,2022-12-30
3MINDIA.NS,3MINDIA,523395,INE470A01017,2015-09-11,2022-12-30
AANJANEYA.NS,AANJANEYA,,,2011-12-16,2013-04-19
AARTIIND.NS,AARTIIND,524208,INE769A01020,2014-06-27,2022-12-30
AAVAS.NS,AAVAS,541988,INE216P01012,2019-04-05,2022-12-30
ABB.NS,ABB,500002,INE117A01022,2010-01-01,2022-12-30
ABBOTINDIA.NS,ABBOTINDIA,500488,INE358A01014,2014-11-21,2022-12-30
ABCAPITAL.NS,ABCAPITAL,540691,INE674K01013,2018-02-23,2022-12-30
ABFRL.NS,ABFRL,535755,INE647O01011,2015-06-26,2022-12-30
ABGSHIP.NS,ABGSHIP,,INE067H01016,2010-01-01,2017-01-06
ABREL.NS,ABREL,500040,INE055A01016,2010-01-01,2022-12-30
ABSLAMC.NS,ABSLAMC,543374,INE404A01024,2022-04-08,2022-12-30
ACC.NS,ACC,500410,INE012A01025,2010-01-01,2022-12-30
ACE.NS,ACE,532762,INE731H01025,2010-05-28,2022-12-30
ADANIENSOL.NS,ADANIENSOL,539254,INE931S01010,2021-11-26,2022-12-30
ADANIENT.NS,ADANIENT,512599,INE423A01024,2010-01-01,2022-12-30
ADANIGREEN.NS,ADANIGREEN,541450,INE364U01010,2018-12-14,2022-12-30
ADANIPORTS.NS,ADANIPORTS,532921,INE742F01042,2010-01-01,2022-12-30
ADANIPOWER.NS,ADANIPOWER,533096,INE814H01029,2010-02-12,2022-12-30
ADHUNIK.NS,ADHUNIK,,INE400H01019,2010-01-01,2011-03-18
AEGISLOG.NS,AEGISLOG,500003,INE208C01025,2021-11-26,2022-12-30
AFFLE.NS,AFFLE,542752,INE00WC01027,2020-01-31,2022-12-30
AIAENG.NS,AIAENG,532683,INE212H01026,2010-01-01,2022-12-30
AJANTPHARM.NS,AJANTPHARM,532331,INE031B01049,2010-09-17,2022-12-30
AKZOINDIA.NS,AKZOINDIA,500710,INE133A01011,2010-10-01,2022-12-30
ALFALAVAL.NS,ALFALAVAL,,INE427A01017,2012-02-24,2012-04-13
ALKEM.NS,ALKEM,539523,INE540L01014,2016-06-17,2022-12-30
ALKYLAMINE.NS,ALKYLAMINE,506767,INE150B01039,2018-01-05,2022-12-30
ALOKINDS.NS,ALOKINDS,521070,INE270A01029,2010-01-01,2022-09-09
AMAR.NS,AMAR,,INE787G01011,2010-03-05,2012-10-26
AMBER.NS,AMBER,540902,INE371P01015,2018-07-27,2022-12-30
AMBUJACEM.NS,AMBUJACEM,500425,INE079A01024,2010-01-01,2022-12-30
AMTEKAUTO.NS,AMTEKAUTO,,INE130C01021,2010-01-01,2018-04-13
ANANDRATHI.NS,ANANDRATHI,543415,INE463V01026,2022-06-10,2022-12-30
